study,n1,m1,s1,n2,m2,s2,md,sd,g
S1,7,23.2,4.2,5,39,7.4,-15.8,5.699824559,1
S2,12,28.2,0.9,11,35.9,1.4,-7.7,1.165169107,1
S3,8,27.9,2,10,33.4,1.2,-5.5,1.6,1
S4,10,27.9,2,9,36.1,2.7,-8.2,2.35546923,1
S5,10,43.4,5.71,5,61.8,9.41,-18.4,7.058161125,0
S6,9,53.1,7.88,5,61.8,9.41,-8.7,8.420944128,0
S7,9,9.7,4.11,11,9.6,4.2,0.1,4.160240378,1
S8,6,10.33,4.5,9,8.11,7.39,2.22,6.433965161,1
S9,8,33.82,3.79,8,40.74,3.97,-6.92,3.881043674,0
S10,9,36.21,1.72,10,42.32,4.07,-6.11,3.187764291,1
S11,6,37.21,2.04,10,42.32,4.07,-5.11,3.483554219,1
